population_group,measure,location,sex,age,metric,year,val,upper,lower
All Population,Life table,Israel,Male,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,Israel,Female,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,Italy,Male,10-14 years,Probability of death,2023,0.0004953469899647116,0.0005329572944577143,0.0004601333718376371
All Population,Life table,Italy,Female,10-14 years,Probability of death,2023,0.0004298963612134735,0.00046886934208682784,0.0003944342184071997
All Population,Life table,Italy,Male,15-19 years,Probability of death,2023,0.0014883627433252393,0.0015813737505084053,0.0013935882150461348
All Population,Life table,Italy,Female,15-19 years,Probability of death,2023,0.0007257860923243269,0.0007868944488396173,0.0006734227366079676
All Population,Life table,Italy,Male,20-24 years,Probability of death,2023,0.002266281635879813,0.002401988365244942,0.002138438720953029
All Population,Life table,Italy,Female,20-24 years,Probability of death,2023,0.0008492574545479147,0.0009134859691644432,0.0007833541185216925
All Population,Life table,Italy,Male,25-29 years,Probability of death,2023,0.002785534514103228,0.002945470876825318,0.0026382246568860787
All Population,Life table,Italy,Female,25-29 years,Probability of death,2023,0.00097537961232303,0.0010451939849976612,0.0009111283676263876
All Population,Life table,Italy,Male,30-34 years,Probability of death,2023,0.0034013252008121128,0.0035707405265502394,0.0032241727619213346
All Population,Life table,Italy,Female,30-34 years,Probability of death,2023,0.0014300954426144567,0.0015307566196187117,0.001336873965623167
All Population,Life table,Italy,Male,35-39 years,Probability of death,2023,0.004665623696284231,0.004904201960845347,0.004450091675332346
All Population,Life table,Italy,Female,35-39 years,Probability of death,2023,0.002204400606066348,0.0023432616845754568,0.002075929847645477
All Population,Life table,Italy,Male,40-44 years,Probability of death,2023,0.006997213894083682,0.0073062270005707424,0.006698555316710311
All Population,Life table,Italy,Female,40-44 years,Probability of death,2023,0.0034957365712071724,0.0036897113853987416,0.0033100881514365604
All Population,Life table,Italy,Male,45-49 years,Probability of death,2023,0.010389669099907718,0.010756728052617274,0.010026255077966874
All Population,Life table,Italy,Female,45-49 years,Probability of death,2023,0.005669519194566514,0.005921571252507454,0.005426814885916461
All Population,Life table,Italy,Male,50-54 years,Probability of death,2023,0.01617054936373526,0.016654996215036067,0.015727890229169338
All Population,Life table,Italy,Female,50-54 years,Probability of death,2023,0.00896311263049825,0.00927393473222673,0.008655655850594083
